#field 	 camCol  filter FWHMvK eta psf_width airmass mjd		 RA		 Dec		 psf_nstar  neff_psf	 sky_frames	 
23 	 1 	 2 	 1.557 	 0.962 	 1.581 	1.242 	52576.101576 	313.8462 	-1.1542 	41 	 35.549 	5.851 	
23 	 1 	 3 	 1.526 	 0.987 	 1.553 	1.243 	52576.102406 	313.8462 	-1.1542 	41 	 34.276 	10.982 	
23 	 1 	 4 	 1.627 	 0.866 	 1.622 	1.247 	52576.104064 	313.8462 	-1.1542 	76 	 37.393 	32.368 	
24 	 1 	 0 	 1.816 	 0.945 	 1.787 	1.245 	52576.103649 	313.9959 	-1.1541 	61 	 45.414 	1.471 	
24 	 1 	 1 	 1.738 	 0.958 	 1.741 	1.248 	52576.105308 	313.9959 	-1.1541 	37 	 43.111 	1.862 	
24 	 1 	 2 	 1.545 	 0.964 	 1.566 	1.242 	52576.101991 	313.9959 	-1.1541 	27 	 34.891 	5.826 	
24 	 1 	 3 	 1.528 	 0.987 	 1.544 	1.243 	52576.102820 	313.9959 	-1.1541 	30 	 33.895 	10.986 	
24 	 1 	 4 	 1.619 	 0.865 	 1.613 	1.247 	52576.104479 	313.9959 	-1.1541 	60 	 36.985 	32.534 	
25 	 1 	 0 	 1.834 	 0.947 	 1.793 	1.245 	52576.104064 	314.1456 	-1.1541 	48 	 45.728 	1.475 	
25 	 1 	 1 	 1.713 	 0.958 	 1.724 	1.248 	52576.105723 	314.1456 	-1.1541 	28 	 42.236 	1.869 	
25 	 1 	 2 	 1.562 	 0.960 	 1.593 	1.242 	52576.102406 	314.1456 	-1.1541 	26 	 36.070 	5.852 	
25 	 1 	 3 	 1.524 	 0.986 	 1.549 	1.243 	52576.103235 	314.1456 	-1.1541 	27 	 34.097 	11.048 	
25 	 1 	 4 	 1.639 	 0.862 	 1.633 	1.247 	52576.104893 	314.1456 	-1.1541 	55 	 37.925 	32.573 	
26 	 1 	 0 	 1.809 	 0.946 	 1.781 	1.245 	52576.104479 	314.2953 	-1.1541 	50 	 45.110 	1.472 	
26 	 1 	 1 	 1.697 	 0.961 	 1.722 	1.248 	52576.106137 	314.2953 	-1.1541 	30 	 42.145 	1.858 	
26 	 1 	 2 	 1.561 	 0.961 	 1.590 	1.242 	52576.102820 	314.2953 	-1.1541 	35 	 35.955 	5.859 	
26 	 1 	 3 	 1.523 	 0.987 	 1.545 	1.243 	52576.103649 	314.2953 	-1.1541 	36 	 33.958 	11.000 	
26 	 1 	 4 	 1.631 	 0.864 	 1.619 	1.247 	52576.105308 	314.2953 	-1.1541 	66 	 37.269 	32.667 	
27 	 1 	 0 	 1.800 	 0.945 	 1.776 	1.245 	52576.104893 	314.4450 	-1.1541 	50 	 44.830 	1.466 	
27 	 1 	 1 	 1.726 	 0.964 	 1.729 	1.248 	52576.106552 	314.4450 	-1.1541 	30 	 42.502 	1.845 	
27 	 1 	 2 	 1.553 	 0.964 	 1.589 	1.242 	52576.103235 	314.4450 	-1.1541 	36 	 35.900 	5.868 	
27 	 1 	 3 	 1.508 	 0.989 	 1.533 	1.243 	52576.104064 	314.4450 	-1.1541 	35 	 33.413 	10.944 	
27 	 1 	 4 	 1.612 	 0.867 	 1.603 	1.247 	52576.105723 	314.4450 	-1.1541 	72 	 36.528 	32.788 	
28 	 1 	 0 	 1.841 	 0.948 	 1.795 	1.245 	52576.105308 	314.5947 	-1.1541 	59 	 45.820 	1.463 	
28 	 1 	 1 	 1.717 	 0.959 	 1.724 	1.248 	52576.106966 	314.5947 	-1.1541 	29 	 42.274 	1.836 	
28 	 1 	 2 	 1.551 	 0.960 	 1.591 	1.242 	52576.103649 	314.5947 	-1.1541 	32 	 35.971 	5.878 	
28 	 1 	 3 	 1.509 	 0.989 	 1.527 	1.243 	52576.104479 	314.5947 	-1.1541 	27 	 33.156 	10.945 	
