#field 	 camCol  filter FWHMvK eta psf_width airmass mjd		 psf_nstar  neff_psf	 sky_frames	 
31 	 1 	 4 	 1.427 	 0.927 	 1.429 	1.204 	53288.099033 	30 	 29.053 	24.221 	
32 	 1 	 0 	 1.726 	 0.940 	 1.678 	1.204 	53288.098618 	50 	 40.014 	1.684 	
32 	 1 	 1 	 1.637 	 0.953 	 1.621 	1.205 	53288.100277 	9 	 37.370 	1.819 	
32 	 1 	 2 	 1.395 	 0.969 	 1.374 	1.203 	53288.096960 	2 	 26.840 	5.032 	
32 	 1 	 3 	 1.363 	 0.992 	 1.330 	1.203 	53288.097789 	4 	 25.143 	8.814 	
32 	 1 	 4 	 1.392 	 0.929 	 1.390 	1.204 	53288.099448 	27 	 27.458 	24.506 	
33 	 1 	 0 	 1.700 	 0.944 	 1.655 	1.204 	53288.099033 	54 	 38.933 	1.547 	
33 	 1 	 1 	 1.624 	 0.952 	 1.602 	1.205 	53288.100692 	13 	 36.468 	1.733 	
33 	 1 	 2 	 1.453 	 0.960 	 1.454 	1.203 	53288.097375 	5 	 30.058 	4.882 	
33 	 1 	 3 	 1.302 	 0.993 	 1.265 	1.203 	53288.098204 	3 	 22.744 	8.532 	
33 	 1 	 4 	 1.435 	 0.927 	 1.435 	1.204 	53288.099862 	31 	 29.297 	24.164 	
34 	 1 	 0 	 1.690 	 0.941 	 1.651 	1.204 	53288.099448 	68 	 38.769 	1.543 	
34 	 1 	 1 	 1.689 	 0.942 	 1.674 	1.205 	53288.101106 	21 	 39.823 	1.720 	
34 	 1 	 2 	 1.487 	 0.957 	 1.487 	1.203 	53288.097789 	9 	 31.428 	4.864 	
34 	 1 	 3 	 1.331 	 0.989 	 1.297 	1.203 	53288.098618 	8 	 23.936 	8.487 	
34 	 1 	 4 	 1.513 	 0.922 	 1.506 	1.204 	53288.100277 	30 	 32.256 	24.166 	
35 	 1 	 0 	 1.740 	 0.936 	 1.699 	1.204 	53288.099862 	71 	 41.034 	1.525 	
35 	 1 	 1 	 1.683 	 0.942 	 1.670 	1.205 	53288.101521 	15 	 39.652 	1.719 	
35 	 1 	 2 	 1.439 	 0.965 	 1.434 	1.203 	53288.098204 	5 	 29.254 	4.860 	
35 	 1 	 3 	 1.322 	 0.988 	 1.294 	1.203 	53288.099033 	9 	 23.823 	8.489 	
35 	 1 	 4 	 1.496 	 0.925 	 1.488 	1.204 	53288.100692 	41 	 31.469 	24.163 	
36 	 1 	 0 	 1.808 	 0.928 	 1.777 	1.204 	53288.100277 	71 	 44.922 	1.524 	
36 	 1 	 1 	 1.641 	 0.945 	 1.623 	1.205 	53288.101935 	13 	 37.434 	1.738 	
36 	 1 	 2 	 1.412 	 0.965 	 1.400 	1.203 	53288.098618 	9 	 27.883 	4.875 	
36 	 1 	 3 	 1.313 	 0.988 	 1.285 	1.203 	53288.099448 	9 	 23.461 	8.495 	
36 	 1 	 4 	 1.522 	 0.916 	 1.523 	1.204 	53288.101106 	35 	 32.975 	24.289 	
37 	 1 	 0 	 1.790 	 0.936 	 1.741 	1.204 	53288.100692 	55 	 43.107 	1.529 	
37 	 1 	 1 	 1.660 	 0.944 	 1.649 	1.205 	53288.102350 	16 	 38.661 	1.752 	
37 	 1 	 2 	 1.390 	 0.962 	 1.390 	1.203 	53288.099033 	12 	 27.487 	4.889 	
37 	 1 	 3 	 1.341 	 0.987 	 1.329 	1.203 	53288.099862 	5 	 25.115 	8.515 	
37 	 1 	 4 	 1.524 	 0.916 	 1.527 	1.204 	53288.101521 	33 	 33.148 	24.410 	
38 	 1 	 0 	 1.869 	 0.917 	 1.845 	1.204 	53288.101106 	43 	 48.382 	1.526 	
38 	 1 	 1 	 1.665 	 0.941 	 1.653 	1.205 	53288.102765 	14 	 38.841 	1.747 	
38 	 1 	 2 	 1.366 	 0.970 	 1.330 	1.203 	53288.099448 	15 	 25.146 	4.877 	
38 	 1 	 3 	 1.384 	 0.986 	 1.375 	1.203 	53288.100277 	12 	 26.895 	8.536 	
38 	 1 	 4 	 1.507 	 0.921 	 1.503 	1.204 	53288.101935 	45 	 32.135 	24.634 	
39 	 1 	 0 	 1.817 	 0.930 	 1.773 	1.204 	53288.101521 	41 	 44.693 	1.530 	
39 	 1 	 1 	 1.679 	 0.940 	 1.661 	1.205 	53288.103179 	16 	 39.232 	1.758 	
39 	 1 	 2 	 1.412 	 0.963 	 1.407 	1.203 	53288.099862 	16 	 28.141 	4.886 	
